"","site","beaver_territory","A_floodplain_km2","A_beaver_km2","date","time","season","DOC_input","DOC_out","delta_DOC","D_beaver_km2","D_catchment_km2"
"131","HMK01",115,2.29777548915501,0.00089701,"2022-07-06","14:30:00","summer",2.32620969359939,3.05997172011662,0.733762026517229,818.008747413328,-0.0760693580489397
"132","HMK01",115,2.29777548915501,0.00089701,"2022-02-20","08:50:00","winter",2.501,2.312,-0.189,-210.699992196297,-0.0760693580489397
"133","HOB01",59,0.432375329906038,0.00031285,"2022-07-15","13:00:00","summer",2.298,2.392,0.0939999999999999,300.46348090139,0.296039091841379
"134","HOB01",59,0.432375329906038,0.00031285,"2021-11-25","13:30:00","winter",2.17,2.223,0.0529999999999999,169.41026050823,0.296039091841379
"135","HR05",80,2.05692479906263,0.01226421,"2022-07-21","08:45:00","summer",1.114,1.037,-0.0770000000000002,-6.27843130540004,-0.0505609150355882
"136","KP01",20,0.622389003705855,0.01575465,"2022-07-06","13:00:00","summer",3.794,4.347,0.553,35.1007480331204,1.82040491276974
"137","KP01",20,0.622389003705855,0.01575465,"2022-01-27","15:30:00","winter",2.661,2.685,0.024,1.52335976997267,1.82040491276974
"138","LA04",27,22.265199515797,0.0128978,"2022-07-07","11:45:00","summer",3.969,4.415,0.446,34.579540696863,0.0665612719503605
"139","LA04",27,22.265199515797,0.0128978,"2022-01-16","15:00:00","winter",2.487,2.549,0.0619999999999998,4.8070213524787,0.0665612719503605
"140","LAB01",4,0.580257769842468,0.01510087,"2022-07-01","15:30:00","summer",6.033,6.052,0.0189999999999992,1.25820565305172,6.14382122098572
"141","LAB01",4,0.580257769842468,0.01510087,"2022-02-05","09:10:00","winter",2.468,2.475,0.00700000000000012,0.463549451124347,6.14382122098572
"142","LAN02",93,12.3079867930422,0.00545227,"2022-07-25","10:00:00","summer",2.719,5.953,3.234,593.147441340946,0.0905103343651419
"143","LAN02",93,12.3079867930422,0.00545227,"2022-03-14","17:45:00","winter",1.605,2.1,0.495,90.7878736746346,0.0905103343651419
"144","LOCH01",43,0.137590896457362,0.02935292,"2022-07-11","14:30:00","summer",1.312,1.561,0.249,8.48297205184356,0.174430144856549
"145","LOCH01",43,0.137590896457362,0.02935292,"2022-03-20","14:15:00","winter",1.288,1.44,0.152,5.17836044931816,0.174430144856549
"146","LU01",118,2.22841198715869,0.0730954,"2022-07-01","10:20:00","summer",6.36314753978987,6.00066763654926,-0.362479903240608,-4.95899746414423,2.07912520956114
"147","LU01",118,2.22841198715869,0.0730954,"2022-02-28","12:00:00","winter",1.73,2.351,0.621,8.49574665437223,2.07912520956114
"148","LU02",119,0.0121116394488403,0.0008463,"2022-07-01","13:30:00","summer",7.88293466453674,6.56610603349631,-1.31682863104044,-1555.98325775782,532.870441842183
"149","LU02",119,0.0121116394488403,0.0008463,"2022-02-28","13:45:00","winter",1.429,1.48,0.0509999999999999,60.2623183268343,532.870441842183
"150","LW02",5,1.10985576029378,0.00468818,"2022-07-04","09:30:00","summer",5.893,5.361,-0.532,-113.476871621823,2.99228072584939
"151","LW02",5,1.10985576029378,0.00468818,"2022-03-30","11:30:00","winter",2.572,3.11,0.538,114.756685963423,2.99228072584939
"152","LY01",124,0.0518749302910186,0.00043087,"2022-07-11","16:30:00","summer",2.409,3.18,0.771,1789.40283612226,21.8024389364012
"153","LY01",124,0.0518749302910186,0.00043087,"2022-03-18","16:30:00","winter",1.278,1.267,-0.0110000000000001,-25.5297421496045,21.8024389364012
"154","MAED01",7,0.24962389152359,0.00088164,"2022-07-04","11:30:00","summer",4.194,5.792,1.598,1812.5311918697,9.71862102298304
"155","MAED01",7,0.24962389152359,0.00088164,"2022-01-06","12:00:00","winter",1.768,1.798,0.03,34.027494215326,9.71862102298304
"156","MD01",145,0.674545468221775,0.02313672,"2022-07-06","10:30:00","summer",2.56767974844097,2.12578142902442,-0.441898319416552,-19.0994367143032,1.89265187980068
"157","MD01",145,0.674545468221775,0.02313672,"2022-04-27","14:42:00","winter",1.291,1.557,0.266,11.4968759616748,1.89265187980068
"158","MKEM01",126,1.78295007783907,0.00124402,"2022-07-18","10:15:00","summer",1.90250129058278,1.60231903704451,-0.300182253538266,-241.300182905633,0.637315258966742
"159","MKEM01",126,1.78295007783907,0.00124402,"2022-03-22","12:30:00","winter",0.7662,0.8176,0.0514,41.3176637031559,0.637315258966742
"160","MO03",150,1.52783281863057,0.01592915,"2022-08-04","10:40:00","summer",4.896,6.83,1.934,121.412630303563,1.83462481353974
