"site","p_sink","p_rope","p_source","med","lo","hi","class"
"SE06",0,0.999,0.001,0.0707205869555166,-0.123464968017667,0.276445941290009,"negligible"
"SE17",0,0.999,0.001,0.0686849808084312,-0.131269867855798,0.260548693909855,"negligible"
"SF01",0.004,0.996,0,-0.0926964020193276,-0.325298467484397,0.145847782449886,"negligible"
"SG01",5e-04,0.9955,0.004,0.0875911932815575,-0.124720165515553,0.317196625629215,"negligible"
"SG02",0,0.9995,5e-04,0.0242822002846783,-0.176520618561196,0.241472886038535,"negligible"
"SG03_1",0,1,0,-0.0306324186408636,-0.229028841313738,0.169184008703064,"negligible"
"SG03_2",0,0.9995,5e-04,0.0480374632218279,-0.146572412402193,0.251460363693315,"negligible"
"SIM03",0,1,0,0.00511505513113672,-0.209633182840723,0.203018521113844,"negligible"
"SU01",0,0.9955,0.0045,0.142811662818115,-0.055851213568202,0.329439144093248,"negligible"
"SU03",0,0.9965,0.0035,0.139322525336451,-0.0547001469822329,0.348482788610172,"negligible"
"SU05",0,0.996,0.004,0.153338048542423,-0.0449945654750327,0.360504942225028,"negligible"
"SZ03",0.002,0.998,0,-0.101838963338915,-0.319820188005418,0.108448043370395,"negligible"
"Talent",0,0.992,0.008,0.142151108628425,-0.0795112155854209,0.363289471140219,"negligible"
"TB01",0,0.9995,5e-04,0.0450605545518983,-0.161525512792539,0.252228606146002,"negligible"
"TB03",0,0.997,0.003,0.0793681247798198,-0.125166910239177,0.287114810891169,"negligible"
"TBG01",0.002,0.998,0,-0.0269074653456334,-0.261770944493243,0.177449936204289,"negligible"
"Tegel",0,1,0,-0.00965914484054395,-0.224170041577998,0.202868996749587,"negligible"
"TG02",5e-04,0.9995,0,0.0253454183496721,-0.173416199108616,0.216060989062688,"negligible"
"TG02_17",0,1,0,0.0964272820250074,-0.0482284980595391,0.232943915895098,"negligible"
"TG02_B",5e-04,0.9995,0,-0.0758367232171757,-0.289024292604273,0.123200234589994,"negligible"
"TH06",0.001,0.9975,0.0015,-0.0138350597016099,-0.273712646655065,0.268250478069062,"negligible"
"TH18_1",0,1,0,0.00514563938781857,-0.217262258485467,0.204253070322955,"negligible"
"TH18_2",0,0.986,0.014,0.172318338406209,-0.0289733175641192,0.40891250954813,"negligible"
"TH19",0,1,0,-0.00692059100408578,-0.206663114974811,0.198378216406288,"negligible"
"TOBB02",0,0.997,0.003,0.106546428598856,-0.0973608770530976,0.312266694193445,"negligible"
"TT001",0,0.9955,0.0045,0.134102353850866,-0.0603348322177954,0.349789051634878,"negligible"
"TT01",0,0.9995,5e-04,0.0292536974995884,-0.174632605401093,0.221082650685045,"negligible"
"UKT03",0,0.988,0.012,0.173272817890049,-0.0374746185954775,0.404407426054208,"negligible"
"VE07",0,0.9755,0.0245,0.210452933681278,0.0111511143732057,0.448295052840027,"negligible"
"VWK02",0,0.9925,0.0075,0.133567189040701,-0.10162225211925,0.365168779688921,"negligible"
"VWK03",5e-04,0.878,0.1215,0.223354033984816,-0.155599786543983,0.625435925294583,"negligible"
"VWK04",0,0.983,0.017,0.217238586924021,0.01458891838438,0.437580109960856,"negligible"
"WBK01",0,0.9975,0.0025,0.0953568833392019,-0.102967784805296,0.291350607584021,"negligible"
"Weierbach",0,0.959,0.041,0.233816596728514,0.00739062621384628,0.486386837789582,"negligible"
"WOB01",0,0.9965,0.0035,0.0679096949070552,-0.12885532961156,0.275185059877285,"negligible"
"WUE01",0,0.9985,0.0015,0.119230924904389,-0.0705455209766547,0.330342969368433,"negligible"
"WY02",0,0.999,0.001,0.0891122523461237,-0.100638039474097,0.283606883578766,"negligible"
"ZH01",0.007,0.993,0,-0.14583227452375,-0.369569716895782,0.0722563431340475,"negligible"
"ZW01",0,0.997,0.003,0.0946854152212228,-0.104168329228101,0.291065558159393,"negligible"
"ZW02",0,1,0,0.0127157751837744,-0.196251658388833,0.208403975039976,"negligible"
